Municipios;Sexo;Periodo;Total
08001 Abrera;Total;2025;13.227
08001 Abrera;Total;2024;13.014
08001 Abrera;Total;2023;12.848
08001 Abrera;Total;2022;12.697
08001 Abrera;Total;2021;12.620
08001 Abrera;Total;2020;12.538
08001 Abrera;Total;2019;12.489
08001 Abrera;Total;2018;12.334
08001 Abrera;Total;2017;12.363
08001 Abrera;Total;2016;12.216
08001 Abrera;Total;2015;12.071
08001 Abrera;Total;2014;12.125
08001 Abrera;Total;2013;12.055
08001 Abrera;Total;2012;11.870
08001 Abrera;Total;2011;11.611
08001 Abrera;Total;2010;11.469
08001 Abrera;Total;2009;11.521
08001 Abrera;Total;2008;11.278
08001 Abrera;Total;2007;10.840
08001 Abrera;Total;2006;10.244
08001 Abrera;Total;2005;9.839
08001 Abrera;Total;2004;9.422
08001 Abrera;Total;2003;9.166
08001 Abrera;Total;2002;8.823
08001 Abrera;Total;2001;8.454
08001 Abrera;Total;2000;8.177
08001 Abrera;Total;1999;7.728
08001 Abrera;Total;1998;7.373
08001 Abrera;Total;1997;""
08001 Abrera;Total;1996;7.003
08001 Abrera;Hombres;2025;6.639
08001 Abrera;Hombres;2024;6.534
08001 Abrera;Hombres;2023;6.462
08001 Abrera;Hombres;2022;6.414
08001 Abrera;Hombres;2021;6.373
08001 Abrera;Hombres;2020;6.325
08001 Abrera;Hombres;2019;6.326
08001 Abrera;Hombres;2018;6.248
08001 Abrera;Hombres;2017;6.283
08001 Abrera;Hombres;2016;6.215
08001 Abrera;Hombres;2015;6.118
08001 Abrera;Hombres;2014;6.167
08001 Abrera;Hombres;2013;6.152
08001 Abrera;Hombres;2012;6.072
08001 Abrera;Hombres;2011;5.926
08001 Abrera;Hombres;2010;5.905
08001 Abrera;Hombres;2009;5.974
08001 Abrera;Hombres;2008;5.882
08001 Abrera;Hombres;2007;5.648
08001 Abrera;Hombres;2006;5.277
08001 Abrera;Hombres;2005;5.088
08001 Abrera;Hombres;2004;4.890
08001 Abrera;Hombres;2003;4.753
08001 Abrera;Hombres;2002;4.562
08001 Abrera;Hombres;2001;4.363
08001 Abrera;Hombres;2000;4.203
08001 Abrera;Hombres;1999;3.972
08001 Abrera;Hombres;1998;3.791
08001 Abrera;Hombres;1997;""
08001 Abrera;Hombres;1996;3.593
08001 Abrera;Mujeres;2025;6.588
08001 Abrera;Mujeres;2024;6.480
08001 Abrera;Mujeres;2023;6.386
08001 Abrera;Mujeres;2022;6.283
08001 Abrera;Mujeres;2021;6.247
08001 Abrera;Mujeres;2020;6.213
08001 Abrera;Mujeres;2019;6.163
08001 Abrera;Mujeres;2018;6.086
08001 Abrera;Mujeres;2017;6.080
08001 Abrera;Mujeres;2016;6.001
08001 Abrera;Mujeres;2015;5.953
08001 Abrera;Mujeres;2014;5.958
08001 Abrera;Mujeres;2013;5.903
08001 Abrera;Mujeres;2012;5.798
08001 Abrera;Mujeres;2011;5.685
08001 Abrera;Mujeres;2010;5.564
08001 Abrera;Mujeres;2009;5.547
08001 Abrera;Mujeres;2008;5.396
08001 Abrera;Mujeres;2007;5.192
08001 Abrera;Mujeres;2006;4.967
08001 Abrera;Mujeres;2005;4.751
08001 Abrera;Mujeres;2004;4.532
08001 Abrera;Mujeres;2003;4.413
08001 Abrera;Mujeres;2002;4.261
08001 Abrera;Mujeres;2001;4.091
08001 Abrera;Mujeres;2000;3.974
08001 Abrera;Mujeres;1999;3.756
08001 Abrera;Mujeres;1998;3.582
08001 Abrera;Mujeres;1997;""
08001 Abrera;Mujeres;1996;3.410
08002 Aguilar de Segarra;Total;2025;292
08002 Aguilar de Segarra;Total;2024;291
08002 Aguilar de Segarra;Total;2023;294
08002 Aguilar de Segarra;Total;2022;287
08002 Aguilar de Segarra;Total;2021;286
08002 Aguilar de Segarra;Total;2020;282
08002 Aguilar de Segarra;Total;2019;288
08002 Aguilar de Segarra;Total;2018;277
08002 Aguilar de Segarra;Total;2017;263
08002 Aguilar de Segarra;Total;2016;253
08002 Aguilar de Segarra;Total;2015;246
08002 Aguilar de Segarra;Total;2014;251
08002 Aguilar de Segarra;Total;2013;242
08002 Aguilar de Segarra;Total;2012;250
08002 Aguilar de Segarra;Total;2011;245
08002 Aguilar de Segarra;Total;2010;253
08002 Aguilar de Segarra;Total;2009;257
08002 Aguilar de Segarra;Total;2008;249
08002 Aguilar de Segarra;Total;2007;252
08002 Aguilar de Segarra;Total;2006;250
08002 Aguilar de Segarra;Total;2005;235
08002 Aguilar de Segarra;Total;2004;230
08002 Aguilar de Segarra;Total;2003;224
08002 Aguilar de Segarra;Total;2002;215
08002 Aguilar de Segarra;Total;2001;208
08002 Aguilar de Segarra;Total;2000;213
08002 Aguilar de Segarra;Total;1999;213
08002 Aguilar de Segarra;Total;1998;211
08002 Aguilar de Segarra;Total;1997;""
08002 Aguilar de Segarra;Total;1996;206
08002 Aguilar de Segarra;Hombres;2025;158
08002 Aguilar de Segarra;Hombres;2024;156
08002 Aguilar de Segarra;Hombres;2023;158
08002 Aguilar de Segarra;Hombres;2022;154
08002 Aguilar de Segarra;Hombres;2021;154
08002 Aguilar de Segarra;Hombres;2020;148
08002 Aguilar de Segarra;Hombres;2019;155
08002 Aguilar de Segarra;Hombres;2018;148
08002 Aguilar de Segarra;Hombres;2017;142
08002 Aguilar de Segarra;Hombres;2016;133
08002 Aguilar de Segarra;Hombres;2015;131
08002 Aguilar de Segarra;Hombres;2014;132
08002 Aguilar de Segarra;Hombres;2013;128
08002 Aguilar de Segarra;Hombres;2012;132
08002 Aguilar de Segarra;Hombres;2011;131
08002 Aguilar de Segarra;Hombres;2010;133
08002 Aguilar de Segarra;Hombres;2009;135
08002 Aguilar de Segarra;Hombres;2008;132
08002 Aguilar de Segarra;Hombres;2007;131
08002 Aguilar de Segarra;Hombres;2006;133
08002 Aguilar de Segarra;Hombres;2005;123
08002 Aguilar de Segarra;Hombres;2004;122
08002 Aguilar de Segarra;Hombres;2003;117
08002 Aguilar de Segarra;Hombres;2002;112
08002 Aguilar de Segarra;Hombres;2001;104
08002 Aguilar de Segarra;Hombres;2000;106
08002 Aguilar de Segarra;Hombres;1999;106
08002 Aguilar de Segarra;Hombres;1998;104
08002 Aguilar de Segarra;Hombres;1997;""
08002 Aguilar de Segarra;Hombres;1996;100
08002 Aguilar de Segarra;Mujeres;2025;134
08002 Aguilar de Segarra;Mujeres;2024;135
08002 Aguilar de Segarra;Mujeres;2023;136
