Municipios;Sexo;Periodo;Total
17001 Agullana;Total;2025;880
17001 Agullana;Total;2024;909
17001 Agullana;Total;2023;923
17001 Agullana;Total;2022;903
17001 Agullana;Total;2021;885
17001 Agullana;Total;2020;863
17001 Agullana;Total;2019;831
17001 Agullana;Total;2018;841
17001 Agullana;Total;2017;831
17001 Agullana;Total;2016;841
17001 Agullana;Total;2015;828
17001 Agullana;Total;2014;826
17001 Agullana;Total;2013;853
17001 Agullana;Total;2012;858
17001 Agullana;Total;2011;839
17001 Agullana;Total;2010;840
17001 Agullana;Total;2009;812
17001 Agullana;Total;2008;806
17001 Agullana;Total;2007;753
17001 Agullana;Total;2006;756
17001 Agullana;Total;2005;759
17001 Agullana;Total;2004;746
17001 Agullana;Total;2003;723
17001 Agullana;Total;2002;672
17001 Agullana;Total;2001;666
17001 Agullana;Total;2000;655
17001 Agullana;Total;1999;624
17001 Agullana;Total;1998;622
17001 Agullana;Total;1997;""
17001 Agullana;Total;1996;619
17001 Agullana;Hombres;2025;435
17001 Agullana;Hombres;2024;448
17001 Agullana;Hombres;2023;455
17001 Agullana;Hombres;2022;455
17001 Agullana;Hombres;2021;445
17001 Agullana;Hombres;2020;431
17001 Agullana;Hombres;2019;411
17001 Agullana;Hombres;2018;418
17001 Agullana;Hombres;2017;414
17001 Agullana;Hombres;2016;419
17001 Agullana;Hombres;2015;418
17001 Agullana;Hombres;2014;414
17001 Agullana;Hombres;2013;434
17001 Agullana;Hombres;2012;439
17001 Agullana;Hombres;2011;430
17001 Agullana;Hombres;2010;438
17001 Agullana;Hombres;2009;429
17001 Agullana;Hombres;2008;421
17001 Agullana;Hombres;2007;397
17001 Agullana;Hombres;2006;394
17001 Agullana;Hombres;2005;393
17001 Agullana;Hombres;2004;382
17001 Agullana;Hombres;2003;369
17001 Agullana;Hombres;2002;343
17001 Agullana;Hombres;2001;336
17001 Agullana;Hombres;2000;332
17001 Agullana;Hombres;1999;322
17001 Agullana;Hombres;1998;325
17001 Agullana;Hombres;1997;""
17001 Agullana;Hombres;1996;329
17001 Agullana;Mujeres;2025;445
17001 Agullana;Mujeres;2024;461
17001 Agullana;Mujeres;2023;468
17001 Agullana;Mujeres;2022;448
17001 Agullana;Mujeres;2021;440
17001 Agullana;Mujeres;2020;432
17001 Agullana;Mujeres;2019;420
17001 Agullana;Mujeres;2018;423
17001 Agullana;Mujeres;2017;417
17001 Agullana;Mujeres;2016;422
17001 Agullana;Mujeres;2015;410
17001 Agullana;Mujeres;2014;412
17001 Agullana;Mujeres;2013;419
17001 Agullana;Mujeres;2012;419
17001 Agullana;Mujeres;2011;409
17001 Agullana;Mujeres;2010;402
17001 Agullana;Mujeres;2009;383
17001 Agullana;Mujeres;2008;385
17001 Agullana;Mujeres;2007;356
17001 Agullana;Mujeres;2006;362
17001 Agullana;Mujeres;2005;366
17001 Agullana;Mujeres;2004;364
17001 Agullana;Mujeres;2003;354
17001 Agullana;Mujeres;2002;329
17001 Agullana;Mujeres;2001;330
17001 Agullana;Mujeres;2000;323
17001 Agullana;Mujeres;1999;302
17001 Agullana;Mujeres;1998;297
17001 Agullana;Mujeres;1997;""
17001 Agullana;Mujeres;1996;290
17002 Aiguaviva;Total;2025;804
17002 Aiguaviva;Total;2024;802
17002 Aiguaviva;Total;2023;770
17002 Aiguaviva;Total;2022;780
17002 Aiguaviva;Total;2021;789
17002 Aiguaviva;Total;2020;765
17002 Aiguaviva;Total;2019;756
17002 Aiguaviva;Total;2018;767
17002 Aiguaviva;Total;2017;779
17002 Aiguaviva;Total;2016;763
17002 Aiguaviva;Total;2015;775
17002 Aiguaviva;Total;2014;783
17002 Aiguaviva;Total;2013;792
17002 Aiguaviva;Total;2012;774
17002 Aiguaviva;Total;2011;754
17002 Aiguaviva;Total;2010;727
17002 Aiguaviva;Total;2009;714
17002 Aiguaviva;Total;2008;678
17002 Aiguaviva;Total;2007;614
17002 Aiguaviva;Total;2006;594
17002 Aiguaviva;Total;2005;601
17002 Aiguaviva;Total;2004;593
17002 Aiguaviva;Total;2003;587
17002 Aiguaviva;Total;2002;571
17002 Aiguaviva;Total;2001;537
17002 Aiguaviva;Total;2000;515
17002 Aiguaviva;Total;1999;471
17002 Aiguaviva;Total;1998;455
17002 Aiguaviva;Total;1997;""
17002 Aiguaviva;Total;1996;432
17002 Aiguaviva;Hombres;2025;416
17002 Aiguaviva;Hombres;2024;403
17002 Aiguaviva;Hombres;2023;384
17002 Aiguaviva;Hombres;2022;387
17002 Aiguaviva;Hombres;2021;395
17002 Aiguaviva;Hombres;2020;385
17002 Aiguaviva;Hombres;2019;383
17002 Aiguaviva;Hombres;2018;388
17002 Aiguaviva;Hombres;2017;395
17002 Aiguaviva;Hombres;2016;391
17002 Aiguaviva;Hombres;2015;391
17002 Aiguaviva;Hombres;2014;392
17002 Aiguaviva;Hombres;2013;393
17002 Aiguaviva;Hombres;2012;383
17002 Aiguaviva;Hombres;2011;380
17002 Aiguaviva;Hombres;2010;368
17002 Aiguaviva;Hombres;2009;362
17002 Aiguaviva;Hombres;2008;346
17002 Aiguaviva;Hombres;2007;310
17002 Aiguaviva;Hombres;2006;292
17002 Aiguaviva;Hombres;2005;304
17002 Aiguaviva;Hombres;2004;301
17002 Aiguaviva;Hombres;2003;295
17002 Aiguaviva;Hombres;2002;291
17002 Aiguaviva;Hombres;2001;270
17002 Aiguaviva;Hombres;2000;261
17002 Aiguaviva;Hombres;1999;236
17002 Aiguaviva;Hombres;1998;230
17002 Aiguaviva;Hombres;1997;""
17002 Aiguaviva;Hombres;1996;215
17002 Aiguaviva;Mujeres;2025;388
17002 Aiguaviva;Mujeres;2024;399
17002 Aiguaviva;Mujeres;2023;386
17002 Aiguaviva;Mujeres;2022;393
17002 Aiguaviva;Mujeres;2021;394
17002 Aiguaviva;Mujeres;2020;380
17002 Aiguaviva;Mujeres;2019;373
17002 Aiguaviva;Mujeres;2018;379
17002 Aiguaviva;Mujeres;2017;384
17002 Aiguaviva;Mujeres;2016;372
17002 Aiguaviva;Mujeres;2015;384
17002 Aiguaviva;Mujeres;2014;391
17002 Aiguaviva;Mujeres;2013;399
17002 Aiguaviva;Mujeres;2012;391
17002 Aiguaviva;Mujeres;2011;374
17002 Aiguaviva;Mujeres;2010;359
17002 Aiguaviva;Mujeres;2009;352
17002 Aiguaviva;Mujeres;2008;332
17002 Aiguaviva;Mujeres;2007;304
17002 Aiguaviva;Mujeres;2006;302
17002 Aiguaviva;Mujeres;2005;297
17002 Aiguaviva;Mujeres;2004;292
17002 Aiguaviva;Mujeres;2003;292
17002 Aiguaviva;Mujeres;2002;280
17002 Aiguaviva;Mujeres;2001;267
17002 Aiguaviva;Mujeres;2000;254
17002 Aiguaviva;Mujeres;1999;235
17002 Aiguaviva;Mujeres;1998;225
17002 Aiguaviva;Mujeres;1997;""
17002 Aiguaviva;Mujeres;1996;217
17003 Albanyà;Total;2025;157
17003 Albanyà;Total;2024;168
17003 Albanyà;Total;2023;171
17003 Albanyà;Total;2022;180
17003 Albanyà;Total;2021;178
17003 Albanyà;Total;2020;155
17003 Albanyà;Total;2019;157
17003 Albanyà;Total;2018;139
17003 Albanyà;Total;2017;141
17003 Albanyà;Total;2016;147
17003 Albanyà;Total;2015;149
17003 Albanyà;Total;2014;155
17003 Albanyà;Total;2013;164
17003 Albanyà;Total;2012;153
17003 Albanyà;Total;2011;150
17003 Albanyà;Total;2010;149
17003 Albanyà;Total;2009;152
17003 Albanyà;Total;2008;143
17003 Albanyà;Total;2007;137
17003 Albanyà;Total;2006;137
17003 Albanyà;Total;2005;131
17003 Albanyà;Total;2004;135
