Municipios;Sexo;Periodo;Total
25001 Abella de la Conca;Total;2025;156
25001 Abella de la Conca;Total;2024;158
25001 Abella de la Conca;Total;2023;167
25001 Abella de la Conca;Total;2022;167
25001 Abella de la Conca;Total;2021;171
25001 Abella de la Conca;Total;2020;183
25001 Abella de la Conca;Total;2019;179
25001 Abella de la Conca;Total;2018;181
25001 Abella de la Conca;Total;2017;184
25001 Abella de la Conca;Total;2016;181
25001 Abella de la Conca;Total;2015;170
25001 Abella de la Conca;Total;2014;170
25001 Abella de la Conca;Total;2013;165
25001 Abella de la Conca;Total;2012;174
25001 Abella de la Conca;Total;2011;181
25001 Abella de la Conca;Total;2010;181
25001 Abella de la Conca;Total;2009;183
25001 Abella de la Conca;Total;2008;183
25001 Abella de la Conca;Total;2007;188
25001 Abella de la Conca;Total;2006;186
25001 Abella de la Conca;Total;2005;183
25001 Abella de la Conca;Total;2004;187
25001 Abella de la Conca;Total;2003;183
25001 Abella de la Conca;Total;2002;188
25001 Abella de la Conca;Total;2001;199
25001 Abella de la Conca;Total;2000;197
25001 Abella de la Conca;Total;1999;186
25001 Abella de la Conca;Total;1998;182
25001 Abella de la Conca;Total;1997;""
25001 Abella de la Conca;Total;1996;186
25001 Abella de la Conca;Hombres;2025;81
25001 Abella de la Conca;Hombres;2024;81
25001 Abella de la Conca;Hombres;2023;87
25001 Abella de la Conca;Hombres;2022;85
25001 Abella de la Conca;Hombres;2021;89
25001 Abella de la Conca;Hombres;2020;99
25001 Abella de la Conca;Hombres;2019;96
25001 Abella de la Conca;Hombres;2018;99
25001 Abella de la Conca;Hombres;2017;102
25001 Abella de la Conca;Hombres;2016;100
25001 Abella de la Conca;Hombres;2015;93
25001 Abella de la Conca;Hombres;2014;94
25001 Abella de la Conca;Hombres;2013;90
25001 Abella de la Conca;Hombres;2012;98
25001 Abella de la Conca;Hombres;2011;103
25001 Abella de la Conca;Hombres;2010;104
25001 Abella de la Conca;Hombres;2009;102
25001 Abella de la Conca;Hombres;2008;100
25001 Abella de la Conca;Hombres;2007;102
25001 Abella de la Conca;Hombres;2006;102
25001 Abella de la Conca;Hombres;2005;99
25001 Abella de la Conca;Hombres;2004;104
25001 Abella de la Conca;Hombres;2003;99
25001 Abella de la Conca;Hombres;2002;101
25001 Abella de la Conca;Hombres;2001;103
25001 Abella de la Conca;Hombres;2000;106
25001 Abella de la Conca;Hombres;1999;100
25001 Abella de la Conca;Hombres;1998;98
25001 Abella de la Conca;Hombres;1997;""
25001 Abella de la Conca;Hombres;1996;102
25001 Abella de la Conca;Mujeres;2025;75
25001 Abella de la Conca;Mujeres;2024;77
25001 Abella de la Conca;Mujeres;2023;80
25001 Abella de la Conca;Mujeres;2022;82
25001 Abella de la Conca;Mujeres;2021;82
25001 Abella de la Conca;Mujeres;2020;84
25001 Abella de la Conca;Mujeres;2019;83
25001 Abella de la Conca;Mujeres;2018;82
25001 Abella de la Conca;Mujeres;2017;82
25001 Abella de la Conca;Mujeres;2016;81
25001 Abella de la Conca;Mujeres;2015;77
25001 Abella de la Conca;Mujeres;2014;76
25001 Abella de la Conca;Mujeres;2013;75
25001 Abella de la Conca;Mujeres;2012;76
25001 Abella de la Conca;Mujeres;2011;78
25001 Abella de la Conca;Mujeres;2010;77
25001 Abella de la Conca;Mujeres;2009;81
25001 Abella de la Conca;Mujeres;2008;83
25001 Abella de la Conca;Mujeres;2007;86
25001 Abella de la Conca;Mujeres;2006;84
25001 Abella de la Conca;Mujeres;2005;84
25001 Abella de la Conca;Mujeres;2004;83
25001 Abella de la Conca;Mujeres;2003;84
25001 Abella de la Conca;Mujeres;2002;87
25001 Abella de la Conca;Mujeres;2001;96
25001 Abella de la Conca;Mujeres;2000;91
25001 Abella de la Conca;Mujeres;1999;86
25001 Abella de la Conca;Mujeres;1998;84
25001 Abella de la Conca;Mujeres;1997;""
25001 Abella de la Conca;Mujeres;1996;84
25003 Agramunt;Total;2025;5.653
25003 Agramunt;Total;2024;5.629
25003 Agramunt;Total;2023;5.516
25003 Agramunt;Total;2022;5.479
25003 Agramunt;Total;2021;5.464
25003 Agramunt;Total;2020;5.411
25003 Agramunt;Total;2019;5.371
25003 Agramunt;Total;2018;5.393
25003 Agramunt;Total;2017;5.405
25003 Agramunt;Total;2016;5.390
25003 Agramunt;Total;2015;5.491
25003 Agramunt;Total;2014;5.515
25003 Agramunt;Total;2013;5.599
25003 Agramunt;Total;2012;5.633
25003 Agramunt;Total;2011;5.653
25003 Agramunt;Total;2010;5.618
25003 Agramunt;Total;2009;5.608
25003 Agramunt;Total;2008;5.577
25003 Agramunt;Total;2007;5.434
25003 Agramunt;Total;2006;5.459
25003 Agramunt;Total;2005;5.355
25003 Agramunt;Total;2004;5.212
25003 Agramunt;Total;2003;5.071
25003 Agramunt;Total;2002;5.071
25003 Agramunt;Total;2001;4.960
25003 Agramunt;Total;2000;4.902
25003 Agramunt;Total;1999;4.933
25003 Agramunt;Total;1998;4.950
25003 Agramunt;Total;1997;""
25003 Agramunt;Total;1996;4.925
25003 Agramunt;Hombres;2025;2.873
25003 Agramunt;Hombres;2024;2.862
25003 Agramunt;Hombres;2023;2.773
25003 Agramunt;Hombres;2022;2.766
25003 Agramunt;Hombres;2021;2.763
25003 Agramunt;Hombres;2020;2.710
25003 Agramunt;Hombres;2019;2.689
25003 Agramunt;Hombres;2018;2.700
25003 Agramunt;Hombres;2017;2.706
25003 Agramunt;Hombres;2016;2.714
25003 Agramunt;Hombres;2015;2.775
25003 Agramunt;Hombres;2014;2.777
25003 Agramunt;Hombres;2013;2.852
25003 Agramunt;Hombres;2012;2.873
25003 Agramunt;Hombres;2011;2.884
25003 Agramunt;Hombres;2010;2.868
25003 Agramunt;Hombres;2009;2.866
25003 Agramunt;Hombres;2008;2.918
25003 Agramunt;Hombres;2007;2.845
25003 Agramunt;Hombres;2006;2.900
25003 Agramunt;Hombres;2005;2.833
25003 Agramunt;Hombres;2004;2.715
25003 Agramunt;Hombres;2003;2.637
25003 Agramunt;Hombres;2002;2.633
25003 Agramunt;Hombres;2001;2.546
25003 Agramunt;Hombres;2000;2.506
25003 Agramunt;Hombres;1999;2.501
25003 Agramunt;Hombres;1998;2.511
25003 Agramunt;Hombres;1997;""
25003 Agramunt;Hombres;1996;2.489
25003 Agramunt;Mujeres;2025;2.780
25003 Agramunt;Mujeres;2024;2.767
25003 Agramunt;Mujeres;2023;2.743
25003 Agramunt;Mujeres;2022;2.713
25003 Agramunt;Mujeres;2021;2.701
25003 Agramunt;Mujeres;2020;2.701
25003 Agramunt;Mujeres;2019;2.682
25003 Agramunt;Mujeres;2018;2.693
25003 Agramunt;Mujeres;2017;2.699
25003 Agramunt;Mujeres;2016;2.676
25003 Agramunt;Mujeres;2015;2.716
25003 Agramunt;Mujeres;2014;2.738
25003 Agramunt;Mujeres;2013;2.747
25003 Agramunt;Mujeres;2012;2.760
25003 Agramunt;Mujeres;2011;2.769
25003 Agramunt;Mujeres;2010;2.750
