Municipios;Sexo;Periodo;Total
43001 Aiguamúrcia;Total;2025;987
43001 Aiguamúrcia;Total;2024;957
43001 Aiguamúrcia;Total;2023;974
43001 Aiguamúrcia;Total;2022;961
43001 Aiguamúrcia;Total;2021;960
43001 Aiguamúrcia;Hombres;2025;519
43001 Aiguamúrcia;Hombres;2024;502
43001 Aiguamúrcia;Hombres;2023;506
43001 Aiguamúrcia;Hombres;2022;497
43001 Aiguamúrcia;Hombres;2021;495
43001 Aiguamúrcia;Mujeres;2025;468
43001 Aiguamúrcia;Mujeres;2024;455
43001 Aiguamúrcia;Mujeres;2023;468
43001 Aiguamúrcia;Mujeres;2022;464
43001 Aiguamúrcia;Mujeres;2021;465
43002 Albinyana;Total;2025;2.718
43002 Albinyana;Total;2024;2.677
43002 Albinyana;Total;2023;2.666
43002 Albinyana;Total;2022;2.581
43002 Albinyana;Total;2021;2.504
43002 Albinyana;Hombres;2025;1.406
43002 Albinyana;Hombres;2024;1.380
43002 Albinyana;Hombres;2023;1.362
43002 Albinyana;Hombres;2022;1.324
43002 Albinyana;Hombres;2021;1.294
43002 Albinyana;Mujeres;2025;1.312
43002 Albinyana;Mujeres;2024;1.297
43002 Albinyana;Mujeres;2023;1.304
43002 Albinyana;Mujeres;2022;1.257
43002 Albinyana;Mujeres;2021;1.210
43003 Albiol, L';Total;2025;557
43003 Albiol, L';Total;2024;537
43003 Albiol, L';Total;2023;535
43003 Albiol, L';Total;2022;528
43003 Albiol, L';Total;2021;515
43003 Albiol, L';Hombres;2025;291
43003 Albiol, L';Hombres;2024;285
43003 Albiol, L';Hombres;2023;288
43003 Albiol, L';Hombres;2022;282
43003 Albiol, L';Hombres;2021;278
43003 Albiol, L';Mujeres;2025;266
43003 Albiol, L';Mujeres;2024;252
43003 Albiol, L';Mujeres;2023;247
43003 Albiol, L';Mujeres;2022;246
43003 Albiol, L';Mujeres;2021;237
43004 Alcanar;Total;2025;10.104
43004 Alcanar;Total;2024;9.943
43004 Alcanar;Total;2023;9.827
43004 Alcanar;Total;2022;9.612
43004 Alcanar;Total;2021;9.579
43004 Alcanar;Hombres;2025;5.098
43004 Alcanar;Hombres;2024;5.024
43004 Alcanar;Hombres;2023;4.965
43004 Alcanar;Hombres;2022;4.852
43004 Alcanar;Hombres;2021;4.862
43004 Alcanar;Mujeres;2025;5.006
43004 Alcanar;Mujeres;2024;4.919
43004 Alcanar;Mujeres;2023;4.862
43004 Alcanar;Mujeres;2022;4.760
43004 Alcanar;Mujeres;2021;4.717
43005 Alcover;Total;2025;5.362
43005 Alcover;Total;2024;5.348
43005 Alcover;Total;2023;5.278
43005 Alcover;Total;2022;5.290
43005 Alcover;Total;2021;5.185
43005 Alcover;Hombres;2025;2.662
43005 Alcover;Hombres;2024;2.658
43005 Alcover;Hombres;2023;2.614
43005 Alcover;Hombres;2022;2.620
43005 Alcover;Hombres;2021;2.569
43005 Alcover;Mujeres;2025;2.700
43005 Alcover;Mujeres;2024;2.690
43005 Alcover;Mujeres;2023;2.664
43005 Alcover;Mujeres;2022;2.670
43005 Alcover;Mujeres;2021;2.616
43904 Aldea, L';Total;2025;4.657
43904 Aldea, L';Total;2024;4.471
43904 Aldea, L';Total;2023;4.445
43904 Aldea, L';Total;2022;4.332
43904 Aldea, L';Total;2021;4.160
43904 Aldea, L';Hombres;2025;2.535
43904 Aldea, L';Hombres;2024;2.405
43904 Aldea, L';Hombres;2023;2.402
43904 Aldea, L';Hombres;2022;2.351
43904 Aldea, L';Hombres;2021;2.219
43904 Aldea, L';Mujeres;2025;2.122
43904 Aldea, L';Mujeres;2024;2.066
43904 Aldea, L';Mujeres;2023;2.043
43904 Aldea, L';Mujeres;2022;1.981
43904 Aldea, L';Mujeres;2021;1.941
43006 Aldover;Total;2025;901
